scenario_id,split,information,action,path,flags,instruction_features,constraint_features,numeric_mentions,instruction
NLEB-CX-CO-005,dev,context,compound,feasible/context/compound/dev/NLEB-CX-CO-005.yaml,time_mention_without_time_constraint,numeric;time,,1;5s,"Import the new voiceover file 'narration.wav' into the project. Place a clip from it on audio track 1 starting at 5s, and link it with the intro shot."
NLEB-CX-CO-006,dev,context,compound,feasible/context/compound/dev/NLEB-CX-CO-006.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,10s;36,"Create a new caption track for lower thirds. Add a caption 'Interview: John Doe' on that track at 10s, then set its font size to 36."
NLEB-CX-CO-009,dev,context,compound,feasible/context/compound/dev/NLEB-CX-CO-009.yaml,time_mention_without_time_constraint;split_position_without_position_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;split_position;time,,3 seconds,The middle clip needs a scene break — split it at 3 seconds. Add a dissolve transition between the two halves. And put a chapter marker caption 'Part 2' at the split point.
NLEB-CX-CO-011,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-011.yaml,time_mention_without_time_constraint;spatial_position_without_position_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;spatial_position;time,,1.1;2s,The intro: scale to 1.1 and add a lower-third caption 'Day 1' at 2s.
NLEB-CX-CO-014,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-014.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,2 seconds;0.7x,The outro is too long — split it at 2 seconds and slow the second half to 0.7x for a dreamy ending.
NLEB-CX-CO-018,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-018.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,25s,"Add a credits caption 'Directed by Jane' at 25s, and put a brightness effect on the outro clip."
NLEB-CX-CO-022,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-022.yaml,time_mention_without_time_constraint,numeric;time,,2;10s;1;3 dB,"Add a new audio clip from media_2 at 10s on audio track 1. Link it with the middle video shot, and lower the BGM by 3 dB."
NLEB-CX-CO-025,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-025.yaml,time_mention_without_time_constraint;split_position_without_position_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;split_position;time,,4,"Split the hero shot at the 4-second mark. Add a chapter title 'Act 2' at the split point, and put a saturation effect on the second half."
NLEB-CX-CO-026,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-026.yaml,time_mention_without_time_constraint,numeric;time,,3;5s;1.1,"Create a new video track for picture-in-picture. Add a clip from media_3 on the new track at 5s, and scale the intro to 1.1."
NLEB-CX-CO-034,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-034.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,0.9x;0s,"Create a new timeline for the rough cut version. On the first timeline, slow the intro to 0.9x and add a watermark caption 'DRAFT' at 0s."
NLEB-CX-CO-035,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-035.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,0s;1.1,The old title caption is outdated — remove the first one. Add a fresh title 'Season 2 Premiere' at 0s. And boost the hero shot's scale to 1.1 for a more cinematic feel.
NLEB-CX-CO-036,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-036.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,3 seconds;0.8x,Split the middle clip at 3 seconds for a scene break. Add a dissolve transition between the two halves. Put a saturation effect on the second half and slow the outro to 0.8x.
NLEB-CX-CO-037,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-037.yaml,time_mention_without_time_constraint,numeric;time,,1.05;0s,The opening V1 clip: scale 1.05 and add a blur effect. Smooth the cut into the bridge with a wipe transition. And add a scene label 'Part 1' at 0s.
NLEB-CX-CO-038,test,context,compound,feasible/context/compound/test/NLEB-CX-CO-038.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,0.4;15s,The contrast effect on the hero shot is too intense — tone it down to 0.4 intensity. Remove the later B-roll overlay entirely. Add a subtitle 'Key Moment' at 15s.
NLEB-CX-CU-002,dev,context,cumulative,feasible/context/cumulative/dev/NLEB-CX-CU-002.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,0s;48,Add a title card caption 'Welcome' at 0s for the opening. Set that caption's font size to 48. Keep it in place.
NLEB-CX-CU-004,dev,context,cumulative,feasible/context/cumulative/dev/NLEB-CX-CU-004.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,preservation,0.85x;5;0.85x,Slow the hero shot to 0.85x. Now split the hero at the 5-second mark. Preserve the speed change on the first half. The second half should also keep the 0.85x speed.
NLEB-CX-CU-005,dev,context,cumulative,feasible/context/cumulative/dev/NLEB-CX-CU-005.yaml,time_mention_without_time_constraint;spatial_position_without_position_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;spatial_position;time,preservation,2s;5 dB,Put a contrast effect on the intro. Add a lower-third caption 'Day 1' at 2s. Now lower the BGM by 5 dB. Preserve the effect and caption.
NLEB-CX-CU-007,dev,context,cumulative,feasible/context/cumulative/dev/NLEB-CX-CU-007.yaml,time_mention_without_time_constraint,numeric;time,preservation,1;5s,Import the new voiceover 'narration.wav' into the project. Place a clip from it on audio track 1 at 5s. Link the new audio with the intro video. Keep the import and clip.
NLEB-CX-CU-008,dev,context,cumulative,feasible/context/cumulative/dev/NLEB-CX-CU-008.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,3s,Create a new caption track for subtitles. Add a subtitle 'Scene 1' on it at 3s. Change the subtitle's color to yellow. Preserve the track and text.
NLEB-CX-CU-010,dev,context,cumulative,feasible/context/cumulative/dev/NLEB-CX-CU-010.yaml,time_mention_without_time_constraint;split_position_without_position_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;split_position;time,preservation,5 seconds,Split the hero shot at 5 seconds. Add a saturation effect to the second half. Keep the split. Add a chapter caption 'Part 2' at the split point. Preserve everything.
NLEB-CX-CU-013,test,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-013.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,25s;0.8x,Add a 'Credits' caption at 25s. Slow the outro to 0.8x. Keep the caption.
NLEB-CX-CU-017,test,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-017.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,0s,Remove the outdated first caption. Add a fresh title 'Season Finale' at 0s.
NLEB-CX-CU-023,test,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-023.yaml,time_mention_without_time_constraint,numeric;time,preservation,3;5s;3 dB,Create a new video track for overlays. Add a clip from media_3 on the new track at 5s. Keep the track. Lower the BGM by 3 dB. Preserve everything.
NLEB-CX-CU-027,test,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-027.yaml,time_mention_without_time_constraint;spatial_position_without_position_constraint,numeric;spatial_position;time,preservation,3;2s;0.85x,Intro: rotation 3 degrees. Add a lower-third 'Day One' at 2s. Keep the rotation. Outro: speed 0.85x. Preserve everything.
NLEB-CX-CU-033,test,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-033.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,0.7;0.55;10s,Earlier B-roll: opacity 0.7. Later B-roll: opacity 0.55. Keep earlier change. Add a subtitle 'Overlay scene' at 10s. Preserve all.
NLEB-CX-CU-035,test,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-035.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,preservation,3 seconds;0.85x,Split the middle clip at 3 seconds. Add a saturation effect to the second half. Keep the split. Slow the outro to 0.85x. Preserve all.
NLEB-CX-CU-036,test,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-036.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,1.05;0s,Opening V1: scale 1.05. Opening V1: brightness effect. Keep scale. Add a wipe transition between the opening and bridge. Preserve all. Add a chapter title 'Introduction' at 0s. Keep everything.
NLEB-CX-CU-037,test,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-037.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,preservation,1.08;4 seconds;4 dB,Intro: scale 1.08. Split the middle clip at 4 seconds. Keep intro scale. Add a contrast effect to the second half of the split. Preserve all. Lower BGM by 4 dB. Keep everything.
NLEB-CX-DE-001,dev,context,dependent,feasible/context/dependent/dev/NLEB-CX-DE-001.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,3 seconds,The hero moment in the middle clip runs long. Split it at 3 seconds and add a dissolve transition between the two halves.
NLEB-CX-DE-002,dev,context,dependent,feasible/context/dependent/dev/NLEB-CX-DE-002.yaml,time_mention_without_time_constraint,numeric;time,,2;0s,We have new background music — import 'ambient.mp3' and place a clip from it on audio track 2 starting at 0s.
NLEB-CX-DE-004,dev,context,dependent,feasible/context/dependent/dev/NLEB-CX-DE-004.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,0s;48,The opening section needs a title card. Add a caption 'Welcome' at 0s. Make the title bigger — set its font size to 48.
NLEB-CX-DE-007,dev,context,dependent,feasible/context/dependent/dev/NLEB-CX-DE-007.yaml,time_mention_without_time_constraint,numeric;time,,2;5s,I need a picture-in-picture layer. Create a new video track. Now add a clip from media_2 on the new track starting at 5s.
NLEB-CX-DE-010,dev,context,dependent,feasible/context/dependent/dev/NLEB-CX-DE-010.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,5 seconds;0.75x,The hero shot has a natural cut point at 5 seconds — split it there. Add a saturation effect to the second half for a flashback look. Slow the second half to 0.75x to complete the effect.
NLEB-CX-DE-013,test,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-013.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,25s,The closing section needs credits — add a caption 'Produced by Studio X' at 25s. Change its color to white.
NLEB-CX-DE-017,test,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-017.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,10s,"Create a new caption track for lower thirds, and add a subtitle 'Interview: John' on it at 10s."
NLEB-CX-DE-022,test,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-022.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,2 seconds,The outro has a bad first half — split it at 2 seconds and delete the first part.
NLEB-CX-DE-027,test,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-027.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,0s,The title card text is wrong — remove the first caption. Add a new caption 'Episode 3: Arrival' at 0s to replace it.
NLEB-CX-DE-028,test,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-028.yaml,time_mention_without_time_constraint,numeric;time,,3;10s;-8 dB,"Create a new audio track for sound effects. Add a clip from media_3 on the new track at 10s, and set its volume to -8 dB."
NLEB-CX-DE-034,test,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-034.yaml,time_mention_without_time_constraint;split_position_without_position_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;split_position;time,,4,Split the middle clip at the 4-second mark and add a chapter title 'Act 2' at the split point.
NLEB-CX-DE-037,test,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-037.yaml,time_mention_without_time_constraint,duration;numeric;time,duration,2;5s;1;1 second,Add a new audio clip from media_2 at 5s on audio track 1. Link it with the hero shot on V1. Extend the hero shot by 1 second so it covers the full audio.
NLEB-DI-AT-009,dev,diagnosis,atomic,feasible/diagnosis/atomic/dev/NLEB-DI-AT-009.yaml,spatial_position_without_position_constraint,spatial_position,preservation,,One of the audio clips is stuck fully on the left — can you center it?
NLEB-DI-AT-023,test,diagnosis,atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-023.yaml,spatial_position_without_position_constraint,spatial_position,preservation,,One of the audio clips is fully panned to the right — can you center it?
NLEB-DI-AT-034,test,diagnosis,atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-034.yaml,spatial_position_without_position_constraint,spatial_position,preservation,,The first audio clip is stuck fully on the left — can you center it? Now the BGM is way too quiet — bring it back to normal level.
NLEB-DI-AT-035,test,diagnosis,atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-035.yaml,duration_mention_without_duration_constraint,duration,preservation,,The first clip is running too fast — get it back to normal speed. Now kill that slide transition between the last two clips.
NLEB-DI-AT-038,test,diagnosis,atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-038.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,1;1,"On timeline 1, the first clip has gone invisible — restore its opacity first. Now the last clip on timeline 1 looks blurry — clean that up."
NLEB-DI-CO-032,test,diagnosis,compound,feasible/diagnosis/compound/test/NLEB-DI-CO-032.yaml,spatial_position_without_position_constraint,spatial_position,preservation,,Every audio clip is panned off-center — each pushed to a different side — center all of them.
NLEB-DI-CU-002,dev,diagnosis,cumulative,feasible/diagnosis/cumulative/dev/NLEB-DI-CU-002.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,1.1;5,The third clip is completely invisible — can you bring it back? Now scale the last video clip up to 1.1. And rotate the shortest video clip by 5 degrees — keep the opacity fix from the first turn.
NLEB-DI-CU-007,dev,diagnosis,cumulative,feasible/diagnosis/cumulative/dev/NLEB-DI-CU-007.yaml,spatial_position_without_position_constraint,numeric;spatial_position,preservation,2 dB,The first audio clip is stuck fully on the left — can you center it? Now boost the longest audio clip by 2 dB — don't undo the pan fix.
NLEB-DI-CU-025,test,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-025.yaml,spatial_position_without_position_constraint,numeric;spatial_position,preservation,2 dB,The first audio clip is stuck fully on the left — can you center it? Now boost the BGM by 2 dB. And keep the pan fix from earlier intact.
NLEB-DI-CU-030,test,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-030.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,3 dB,A V2 clip is upside down — can you flip it back? Now lower the BGM by 3 dB. And add a blur effect to the last V1 clip — keep everything from before.
NLEB-DI-DE-008,dev,diagnosis,dependent,feasible/diagnosis/dependent/dev/NLEB-DI-DE-008.yaml,spatial_position_without_position_constraint,numeric;spatial_position,preservation,3 dB,"The first audio clip is stuck fully on the left — center it, then boost its volume by 3 dB."
NLEB-DI-DE-014,test,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-014.yaml,spatial_position_without_position_constraint,numeric;spatial_position,preservation,3 dB,"The BGM is fully panned to the right — center it, then drop its volume by 3 dB."
NLEB-DI-DE-025,test,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-025.yaml,split_position_without_position_constraint,split_position,,,"The first audio clip is blown out loud — bring the volume back to normal, then split it at its midpoint to isolate the problem section."
NLEB-DI-DE-028,test,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-028.yaml,spatial_position_without_position_constraint,numeric;spatial_position,preservation,-6 dB,"The second audio clip is panned hard left and too loud — center the pan first, then set its volume to -6 dB."
NLEB-DI-DE-035,test,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-035.yaml,spatial_position_without_position_constraint,spatial_position,,,"The BGM is blown out loud and hard-panned left — bring the volume back to normal and center the pan, then add a fade-in and fade-out."
NLEB-DI-DE-039,test,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-039.yaml,duration_mention_without_duration_constraint,duration;numeric,,3 dB,"The last V1 clip is upside down and squeezed narrow — flip it back and restore its width, then add a saturation effect, and finally boost its matching audio clip by 3 dB."
NLEB-EX-AT-002,dev,explicit,atomic,feasible/explicit/atomic/dev/NLEB-EX-AT-002.yaml,time_mention_without_time_constraint,numeric;time,,1;00;00;25;00,Add a new clip from av_media_1 onto track V1 starting at 00:00:25:00.
NLEB-EX-AT-005,dev,explicit,atomic,feasible/explicit/atomic/dev/NLEB-EX-AT-005.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,00;00;05;00,Add a caption with text 'Hello World' at 00:00:05:00.
NLEB-EX-AT-007,dev,explicit,atomic,feasible/explicit/atomic/dev/NLEB-EX-AT-007.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,2;00;00;03;00,Split video_clip_2 at 00:00:03:00. Add a new video track named V3.
NLEB-EX-AT-009,dev,explicit,atomic,feasible/explicit/atomic/dev/NLEB-EX-AT-009.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,1;2;1.0s;3;0.7,Add a cross-dissolve transition between video_clip_1 and video_clip_2 with duration 1.0s. Set video_clip_3 opacity to 0.7.
NLEB-EX-AT-016,test,explicit,atomic,feasible/explicit/atomic/test/NLEB-EX-AT-016.yaml,time_mention_without_time_constraint,numeric;time,,2;00;00;15;00,Add a new clip from av_media_2 onto track V2 at 00:00:15:00.
NLEB-EX-AT-018,test,explicit,atomic,feasible/explicit/atomic/test/NLEB-EX-AT-018.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,1;00;00;02;00,Split video_clip_1 at the 00:00:02:00 mark.
NLEB-EX-AT-019,test,explicit,atomic,feasible/explicit/atomic/test/NLEB-EX-AT-019.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,3;00;00;04;00,Split video_clip_3 at 00:00:04:00.
NLEB-EX-AT-023,test,explicit,atomic,feasible/explicit/atomic/test/NLEB-EX-AT-023.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint;caption_or_title_time_coverage_candidate,caption_or_title;duration;numeric;time,,00;00;08;00;3 seconds,Add a caption 'Scene 2' at 00:00:08:00 with duration 3 seconds.
NLEB-EX-AT-032,test,explicit,atomic,feasible/explicit/atomic/test/NLEB-EX-AT-032.yaml,time_mention_without_time_constraint,numeric;time,,00;00;00;00,Import /assets/music.mp3 as media. Add a clip from it onto A2 at 00:00:00:00.
NLEB-EX-AT-036,test,explicit,atomic,feasible/explicit/atomic/test/NLEB-EX-AT-036.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,2;00;00;06;00,Unlink video_clip_2 from its linked audio. Add a caption 'Chapter 2' at 00:00:06:00.
NLEB-EX-AT-040,test,explicit,atomic,feasible/explicit/atomic/test/NLEB-EX-AT-040.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,preservation,4;3;00;00;05;00;1;0.9,Add a contrast effect to video_clip_4. Split video_clip_3 at 00:00:05:00. Set video_clip_1 opacity to 0.9.
NLEB-EX-CO-002,dev,explicit,compound,feasible/explicit/compound/dev/NLEB-EX-CO-002.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,0.0s;1;2,"Add a caption with text 'Chapter 1' at position 0.0s on video_track_1, and add a fade-in effect to video_clip_2."
NLEB-EX-CO-005,dev,explicit,compound,feasible/explicit/compound/dev/NLEB-EX-CO-005.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,duration,3;2.5s,"video_clip_3: split at 2.5s, add brightness effect to the first part."
NLEB-EX-CO-006,dev,explicit,compound,feasible/explicit/compound/dev/NLEB-EX-CO-006.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,2;0.0s;3.0s,Create a new video track called 'overlay_track' and add a clip from av_media_2 at position 0.0s with duration 3.0s on it.
NLEB-EX-CO-010,dev,explicit,compound,feasible/explicit/compound/dev/NLEB-EX-CO-010.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,1;2;1.0s;2;0.95,"Add a cross-dissolve transition between vc_1 and vc_2 with duration 1.0s, and set vc_2 opacity to 0.95."
NLEB-EX-CO-012,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-012.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,,1;5.0s,Remove caption_1 and add a new caption with text 'Scene 2' at position 5.0s.
NLEB-EX-CO-015,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-015.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,2;3;2.0s;4.0s;1,Remove video_clip_2 and add a new clip from av_media_3 at position 2.0s with duration 4.0s on video_track_1.
NLEB-EX-CO-023,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-023.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,2;1.0s;2.0s,"Add a new audio track called 'sfx_track', add a clip from av_media_2 at 1.0s with duration 2.0s on it, and add a fade-in effect to that new clip."
NLEB-EX-CO-024,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-024.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,2;3.0s;0.8,"Split vc_2 at 3.0s, set the first annotator_b's opacity to 0.8, and add a cross-dissolve transition between the two resulting parts."
NLEB-EX-CO-025,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-025.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,2;4;1;3.0s;5.0s;1,"Remove video_clip_2 and video_clip_4, then add a new clip from av_media_1 at position 3.0s with duration 5.0s on video_track_1."
NLEB-EX-CO-028,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-028.yaml,time_mention_without_time_constraint;caption_or_title_time_coverage_candidate,caption_or_title;numeric;time,preservation,0.0s;1;0.8;3;0.9,"Add a caption 'Title Card' at 0.0s, set video_clip_1 opacity to 0.8, and set video_clip_3 scale to 0.9."
NLEB-EX-CO-029,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-029.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,1.0s;2.0s;1,"Import 'overlay.png' as new media, add a clip from it at 1.0s with duration 2.0s on video_track_1, and add a fade-out effect to the new clip."
NLEB-EX-CO-030,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-030.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,2;1;0.0s;10.0s,"Remove audio_track_2, create a new audio track called 'voiceover', and add a clip from av_media_1 at 0.0s with duration 10.0s on it."
NLEB-EX-CO-032,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-032.yaml,duration_mention_without_duration_constraint,duration;numeric,preservation,1;2;1.2s;2;2;0.95,"Add a cross-dissolve transition between vc_1 and vc_2 lasting 1.2s, add a saturation effect to vc_2, and set vc_2 scale to 0.95."
NLEB-EX-CO-035,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-035.yaml,time_mention_without_time_constraint;split_position_without_position_constraint,numeric;split_position;time,,5;4.0s;0.7,Split video_clip_5 at 4.0s. Add a blur effect to the first part. Add a cross-dissolve transition between the two resulting segments. Set the second segment's opacity to 0.7.
NLEB-EX-CO-036,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-036.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint;caption_or_title_time_coverage_candidate,caption_or_title;duration;numeric;time,,0.0s;5.0s;0.5s,Import 'title_bg.mp4' as media. Create a new video track called 'title_track'. Add a clip from the imported media at 0.0s with duration 5.0s. Add a caption 'Welcome' at 0.5s. Add a fade-in effect to the new clip.
NLEB-EX-CO-037,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-037.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,2;2;2;2;1;2.0s;3.0s;1;4,Unlink video_clip_2 from audio_clip_2. Remove video_clip_2. Remove audio_clip_2. Add a new video clip from av_media_1 at 2.0s with duration 3.0s on video_track_1. Link the new clip with audio_clip_4.
NLEB-EX-CO-038,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-038.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint,duration;numeric;time,,5.0s;8.0s;1;5.0s,"Create a bin called 'Assets', import 'interview.mp4', add a clip from it at 5.0s with duration 8.0s on video_track_1, add a brightness effect to the clip, set the clip's scale to 0.9, and add a caption 'Interview' at 5.0s."
NLEB-EX-CO-039,test,explicit,compound,feasible/explicit/compound/test/NLEB-EX-CO-039.yaml,time_mention_without_time_constraint;duration_mention_without_duration_constraint;caption_or_title_time_coverage_candidate,caption_or_title;duration;numeric;time,preservation,1;2;1.5s;2;12;1;0s,"Remove the transition between vc_1 and vc_2 and add a wipe transition with duration 1.5s between them. Set vc_2 rotation to 12 degrees, add a contrast effect to vc_1, and add a caption 'Opening' at 0s."
