scenario_id,split,feasibility,information,action,path,constraint_count,directions,fields,likely_numeric_constraints
NLEB-CX-CU-031,test,feasible,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-031.yaml,1,decrease,audio.volume,1
NLEB-CX-CU-034,test,feasible,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-034.yaml,1,decrease,audio.volume,1
NLEB-CX-CU-037,test,feasible,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-037.yaml,1,decrease,audio.volume,1
NLEB-CX-CU-039,test,feasible,context,cumulative,feasible/context/cumulative/test/NLEB-CX-CU-039.yaml,1,decrease,audio.volume,1
NLEB-CX-DE-006,dev,feasible,context,dependent,feasible/context/dependent/dev/NLEB-CX-DE-006.yaml,1,decrease,timeline_start,1
NLEB-CX-DE-008,dev,feasible,context,dependent,feasible/context/dependent/dev/NLEB-CX-DE-008.yaml,1,decrease,timeline_start,1
NLEB-CX-DE-009,dev,feasible,context,dependent,feasible/context/dependent/dev/NLEB-CX-DE-009.yaml,1,increase,duration,1
NLEB-CX-DE-011,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-011.yaml,1,decrease,duration,1
NLEB-CX-DE-014,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-014.yaml,1,decrease,timeline_start,1
NLEB-CX-DE-015,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-015.yaml,1,decrease,audio.volume,1
NLEB-CX-DE-021,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-021.yaml,1,decrease,timeline_start,1
NLEB-CX-DE-023,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-023.yaml,1,decrease,audio.volume,1
NLEB-CX-DE-032,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-032.yaml,1,decrease,timeline_start,1
NLEB-CX-DE-037,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-037.yaml,1,increase,duration,1
NLEB-CX-DE-038,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-038.yaml,1,decrease,timeline_start,1
NLEB-CX-DE-039,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-039.yaml,1,decrease,timeline_start,1
NLEB-CX-DE-040,test,feasible,context,dependent,feasible/context/dependent/test/NLEB-CX-DE-040.yaml,1,decrease,audio.volume,1
NLEB-DI-AT-008,dev,feasible,diagnosis,atomic,feasible/diagnosis/atomic/dev/NLEB-DI-AT-008.yaml,1,any,text,0
NLEB-DI-AT-020,test,feasible,diagnosis,atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-020.yaml,1,any,text,0
NLEB-DI-AT-027,test,feasible,diagnosis,atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-027.yaml,1,any,text,0
NLEB-DI-AT-036,test,feasible,diagnosis,atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-036.yaml,1,any,text,0
NLEB-DI-AT-040,test,feasible,diagnosis,atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-040.yaml,1,any,text,0
NLEB-DI-CO-033,test,feasible,diagnosis,compound,feasible/diagnosis/compound/test/NLEB-DI-CO-033.yaml,1,any,text,0
NLEB-DI-CU-006,dev,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/dev/NLEB-DI-CU-006.yaml,1,decrease,audio.volume,1
NLEB-DI-CU-007,dev,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/dev/NLEB-DI-CU-007.yaml,1,increase,audio.volume,1
NLEB-DI-CU-009,dev,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/dev/NLEB-DI-CU-009.yaml,1,decrease,audio.volume,1
NLEB-DI-CU-010,dev,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/dev/NLEB-DI-CU-010.yaml,1,any,text,0
NLEB-DI-CU-011,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-011.yaml,1,decrease,audio.volume,1
NLEB-DI-CU-018,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-018.yaml,1,increase,audio.volume,1
NLEB-DI-CU-025,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-025.yaml,1,increase,audio.volume,1
NLEB-DI-CU-029,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-029.yaml,1,decrease,audio.volume,1
NLEB-DI-CU-030,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-030.yaml,1,decrease,audio.volume,1
NLEB-DI-CU-033,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-033.yaml,1,increase,audio.volume,1
NLEB-DI-CU-035,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-035.yaml,1,increase,audio.volume,1
NLEB-DI-CU-036,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-036.yaml,1,decrease,audio.volume,1
NLEB-DI-CU-037,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-037.yaml,1,decrease,audio.volume,1
NLEB-DI-CU-038,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-038.yaml,1,decrease,audio.volume,1
NLEB-DI-CU-040,test,feasible,diagnosis,cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-040.yaml,1,decrease,audio.volume,1
NLEB-DI-DE-008,dev,feasible,diagnosis,dependent,feasible/diagnosis/dependent/dev/NLEB-DI-DE-008.yaml,1,increase,audio.volume,1
NLEB-DI-DE-014,test,feasible,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-014.yaml,1,decrease,audio.volume,1
NLEB-DI-DE-017,test,feasible,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-017.yaml,1,increase,audio.volume,1
NLEB-DI-DE-025,test,feasible,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-025.yaml,1,decrease,audio.volume,1
NLEB-DI-DE-039,test,feasible,diagnosis,dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-039.yaml,1,increase,audio.volume,1
NLEB-EX-CU-009,dev,feasible,explicit,cumulative,feasible/explicit/cumulative/dev/NLEB-EX-CU-009.yaml,1,increase,duration,1
NLEB-EX-CU-014,test,feasible,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-014.yaml,1,decrease,timeline_start,1
NLEB-EX-CU-025,test,feasible,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-025.yaml,1,increase,duration,1
NLEB-EX-CU-026,test,feasible,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-026.yaml,1,decrease,timeline_start,1
NLEB-EX-CU-033,test,feasible,explicit,cumulative,feasible/explicit/cumulative/test/NLEB-EX-CU-033.yaml,1,increase,timeline_start,1
NLEB-EX-DE-001,dev,feasible,explicit,dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-001.yaml,1,increase,timeline_start,1
NLEB-EX-DE-004,dev,feasible,explicit,dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-004.yaml,1,increase,name,0
NLEB-EX-DE-007,dev,feasible,explicit,dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-007.yaml,1,decrease,timeline_start,1
NLEB-EX-DE-009,dev,feasible,explicit,dependent,feasible/explicit/dependent/dev/NLEB-EX-DE-009.yaml,1,increase,duration,1
NLEB-EX-DE-014,test,feasible,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-014.yaml,1,decrease,timeline_start,1
NLEB-EX-DE-024,test,feasible,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-024.yaml,1,decrease,timeline_start,1
NLEB-EX-DE-025,test,feasible,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-025.yaml,1,decrease,timeline_start,1
NLEB-EX-DE-027,test,feasible,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-027.yaml,1,decrease,timeline_start,1
NLEB-EX-DE-030,test,feasible,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-030.yaml,1,increase,audio.volume,1
NLEB-EX-DE-036,test,feasible,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-036.yaml,1,decrease,timeline_start,1
NLEB-EX-DE-040,test,feasible,explicit,dependent,feasible/explicit/dependent/test/NLEB-EX-DE-040.yaml,1,decrease,timeline_start,1
NLEB-ST-AT-007,dev,feasible,state,atomic,feasible/state/atomic/dev/NLEB-ST-AT-007.yaml,1,decrease,audio.volume,1
NLEB-ST-AT-009,dev,feasible,state,atomic,feasible/state/atomic/dev/NLEB-ST-AT-009.yaml,1,decrease,audio.volume,1
NLEB-ST-AT-011,test,feasible,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-011.yaml,1,increase,audio.volume,1
NLEB-ST-AT-031,test,feasible,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-031.yaml,1,decrease,audio.volume,1
NLEB-ST-AT-032,test,feasible,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-032.yaml,1,increase,audio.volume,1
NLEB-ST-AT-034,test,feasible,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-034.yaml,1,decrease,audio.volume,1
NLEB-ST-AT-035,test,feasible,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-035.yaml,1,decrease,audio.volume,1
NLEB-ST-AT-038,test,feasible,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-038.yaml,1,increase,audio.volume,1
NLEB-ST-AT-039,test,feasible,state,atomic,feasible/state/atomic/test/NLEB-ST-AT-039.yaml,1,increase,audio.volume,1
NLEB-ST-CO-005,dev,feasible,state,compound,feasible/state/compound/dev/NLEB-ST-CO-005.yaml,1,decrease,audio.volume,1
NLEB-ST-CO-007,dev,feasible,state,compound,feasible/state/compound/dev/NLEB-ST-CO-007.yaml,1,increase,audio.volume,1
NLEB-ST-CO-039,test,feasible,state,compound,feasible/state/compound/test/NLEB-ST-CO-039.yaml,1,decrease,audio.volume,1
NLEB-ST-CU-001,dev,feasible,state,cumulative,feasible/state/cumulative/dev/NLEB-ST-CU-001.yaml,1,increase,audio.volume,1
NLEB-ST-CU-004,dev,feasible,state,cumulative,feasible/state/cumulative/dev/NLEB-ST-CU-004.yaml,1,decrease,audio.volume,1
NLEB-ST-CU-011,test,feasible,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-011.yaml,1,increase,audio.volume,1
NLEB-ST-CU-016,test,feasible,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-016.yaml,1,decrease,audio.volume,1
NLEB-ST-CU-019,test,feasible,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-019.yaml,1,increase,audio.volume,1
NLEB-ST-CU-024,test,feasible,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-024.yaml,1,increase,audio.volume,1
NLEB-ST-CU-030,test,feasible,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-030.yaml,1,increase,audio.volume,1
NLEB-ST-CU-037,test,feasible,state,cumulative,feasible/state/cumulative/test/NLEB-ST-CU-037.yaml,1,increase,audio.volume,1
NLEB-ST-DE-001,dev,feasible,state,dependent,feasible/state/dependent/dev/NLEB-ST-DE-001.yaml,1,decrease,timeline_start,1
NLEB-ST-DE-004,dev,feasible,state,dependent,feasible/state/dependent/dev/NLEB-ST-DE-004.yaml,2,decrease;decrease,timeline_start;timeline_start,2
NLEB-ST-DE-005,dev,feasible,state,dependent,feasible/state/dependent/dev/NLEB-ST-DE-005.yaml,1,increase,audio.volume,1
NLEB-ST-DE-007,dev,feasible,state,dependent,feasible/state/dependent/dev/NLEB-ST-DE-007.yaml,1,decrease,timeline_start,1
NLEB-ST-DE-011,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-011.yaml,1,decrease,timeline_start,1
NLEB-ST-DE-014,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-014.yaml,1,increase,audio.volume,1
NLEB-ST-DE-018,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-018.yaml,1,decrease,timeline_start,1
NLEB-ST-DE-019,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-019.yaml,1,decrease,timeline_start,1
NLEB-ST-DE-021,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-021.yaml,1,increase,audio.volume,1
NLEB-ST-DE-026,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-026.yaml,1,decrease,audio.volume,1
NLEB-ST-DE-027,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-027.yaml,2,increase;increase,timeline_start;timeline_start,2
NLEB-ST-DE-030,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-030.yaml,1,increase,timeline_start,1
NLEB-ST-DE-031,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-031.yaml,1,decrease,timeline_start,1
NLEB-ST-DE-035,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-035.yaml,1,decrease,timeline_start,1
NLEB-ST-DE-037,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-037.yaml,2,increase;increase,audio.volume;audio.volume,2
NLEB-ST-DE-038,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-038.yaml,1,decrease,timeline_start,1
NLEB-ST-DE-040,test,feasible,state,dependent,feasible/state/dependent/test/NLEB-ST-DE-040.yaml,2,decrease;decrease,timeline_start;timeline_start,2
