row_id,model,provider,track,timestamp,total_runs,successful_runs,sr,aggregate_csv,included_summary_artifact,included_per_scenario_artifact,source_summary_relpath,source_results_relpath,source_summary_sha256,source_results_sha256,valid_jsonl_rows,redacted_rows_written,redacted_successful_runs,malformed_jsonl_lines,recompute_status,excluded_from_recompute,exclusion_reason,per_call_logs_included,full_tool_args_included,full_agent_responses_included,full_states_included,notes
11,claude-haiku-4-5,anthropic,canonical,2026-04-24T12:09:10.439561,800,359,0.4487,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-24_11-56-51_claude-haiku-4-5/summary.json,2026-04-24_11-56-51_claude-haiku-4-5/results.jsonl,c5a1094681ec38aac35ce0341c60bcd32b1cfe737f848806fb4c6750f9f867f9,e58396ba786a4ba84f0d9c8538a6ded0e8135c7c2d7cfc4ce5f9b269e61a8229,800,800,359,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
12,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,vllm,canonical,2026-04-19T09:22:56.354909,2400,1068,0.445,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_08-12-08_deepseek-ai_DeepSeek-R1-Distill-Qwen-14B/summary.json,2026-04-19_08-12-08_deepseek-ai_DeepSeek-R1-Distill-Qwen-14B/results.jsonl,19574c3657ab5d118c767c898eb4734e95b3e77b655bbf1def42c4134e97b45d,ba75e7238701b670e99fc38a7e4c6a53c19e7b4a934096dc67ab8c3e4a2c2643,2400,2400,1068,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
13,Qwen/Qwen3.5-35B-A3B,vllm,canonical,2026-04-20T19:52:59.774820,2400,1044,0.435,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_18-34-00_Qwen_Qwen3.5-35B-A3B/summary.json,2026-04-20_18-34-00_Qwen_Qwen3.5-35B-A3B/results.jsonl,84570e446800dfc598b60cbf18c3c712ef2ef2b917b82257a80ab9501eed1ba0,aa7e2a2b4cbd001e9784098fd9642f3986d08967f0754cb1840767aefbdf618d,2400,2400,1044,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
14,microsoft/Phi-4,vllm,canonical,2026-04-19T08:10:06.204736,2400,1020,0.425,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_07-36-22_microsoft_Phi-4/summary.json,2026-04-19_07-36-22_microsoft_Phi-4/results.jsonl,74249167f9c42d656afd96d7a53d957ac4440414ebbb6ac29dcc02d40dee95f9,39f561f2a16d1f01383f224e54977ff6d5fc41b882de82605bd4d920e1ba42df,2400,2400,1020,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
15,Qwen/Qwen3.5-4B,vllm,canonical,2026-04-19T01:22:18.650107,2400,990,0.4125,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_00-58-56_Qwen_Qwen3.5-4B/summary.json,2026-04-19_00-58-56_Qwen_Qwen3.5-4B/results.jsonl,9276bac0861d5b1fb4753434326a06a9d107c90acdcb8ff5165a0a8ec30423c3,81722c6015dde556039e7ea36373067fe090b19311e1a19d66bb6a526d4f8adb,2400,2400,990,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
16,Qwen/Qwen2.5-14B-Instruct,vllm,canonical,2026-04-19T07:34:11.971098,2400,970,0.4042,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_07-15-33_Qwen_Qwen2.5-14B-Instruct/summary.json,2026-04-19_07-15-33_Qwen_Qwen2.5-14B-Instruct/results.jsonl,5befabf8354c97e3b09aacce06b80e959b9cc2d1bd5696c2250d92156643183e,d372f73886be3ecafa7ab98708771baaeebcaf2cc1c8318ed851a583e93724b7,2400,2400,970,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
17,gpt-5.4-mini,openai,canonical,2026-04-25T21:03:03.993903,800,325,0.4062,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-25_20-48-35_gpt-5.4-mini/summary.json,2026-04-25_20-48-35_gpt-5.4-mini/results.jsonl,a2c91786b3bd6fc29b771fe31309b409942fb626568296c0f4c41d14ea238ceb,e6bb74c2a3e8c1cdffa1da90fc79ff8d5ddadb45db62ca639b9de3e53f3596d0,800,800,325,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
18,google/gemma-4-31B-it,vllm,canonical,2026-04-19T15:54:50.744286,2400,979,0.4079,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_15-01-48_google_gemma-4-31B-it/summary.json,2026-04-19_15-01-48_google_gemma-4-31B-it/results.jsonl,98fa3161aff48f40def68ad8f6f3965e1dd27aaf440b3b891f94cbfc86c8754d,34759c9f0af92e2ddd70064c1e71443d1a105b97dd5ae688fdecac8d5b12775d,2400,2400,979,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
19,gpt-5.4,openai,canonical,2026-04-25T20:48:26.386958,800,323,0.4037,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-25_20-24-10_gpt-5.4/summary.json,2026-04-25_20-24-10_gpt-5.4/results.jsonl,e59dc9e7b4921448a8f21d9bb9edfc569aadd28937f15f653df687915d493ccc,e4df211a48fd8a17ea9e0d06f9c741b16d4acdc47f727ea2a3d2df8dbff4f608,800,800,323,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
20,gemini-2.5-flash,google,canonical,2026-04-25T07:40:32.643956,800,319,0.3987,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-25_07-33-29_gemini-2.5-flash/summary.json,2026-04-25_07-33-29_gemini-2.5-flash/results.jsonl,6e49c1efaee615260772dcfc1c7ffb7dc9b5be8b4162ec585b33bce82947bd82,87f7d1441fba12d6fbf07d50c37903cea8caccf5dbafc606ce71844ef71bc114,800,800,319,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
21,mistralai/Mistral-Nemo-Instruct-2407,vllm,canonical,2026-04-19T06:58:28.480951,2400,859,0.3579,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_06-41-54_mistralai_Mistral-Nemo-Instruct-2407/summary.json,2026-04-19_06-41-54_mistralai_Mistral-Nemo-Instruct-2407/results.jsonl,6236799f140328be4d3944455f352f95a227ec9c913d98901e6757d941e73402,97687f21577ac125d5956dfad3866b36f58dca8c76f3e7d9604e4021793ce205,2400,2400,859,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
22,Qwen/Qwen3.5-2B,vllm,canonical,2026-04-24T09:06:49.202287,2400,818,0.3408,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-24_08-56-46_Qwen_Qwen3.5-2B/summary.json,2026-04-24_08-56-46_Qwen_Qwen3.5-2B/results.jsonl,639a80f0c58b7cb76e488cc0ef6ed74ed261a0ae1c9267513627ef21e5244b4a,817d6caf50491ad46fe8661c17abcb720ad358632a689d2775221a175db2fffb,2400,2400,818,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
23,Qwen/Qwen2.5-7B-Instruct,vllm,canonical,2026-04-19T01:53:32.504718,2400,814,0.3392,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_01-47-51_Qwen_Qwen2.5-7B-Instruct/summary.json,2026-04-19_01-47-51_Qwen_Qwen2.5-7B-Instruct/results.jsonl,f6a97356b24b29f6f5a26e8405b5a01738ebc04b2452c305c615fe4c16824ca6,279d7ba73d20a53ce93ab3bb2ee7a9b53ce596e51c0aadcf21f5095bb10b9f7f,2400,2400,814,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
24,zai-org/GLM-4-32B-0414,vllm,canonical,2026-04-20T17:59:33.448636,2400,814,0.3392,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_16-25-30_zai-org_GLM-4-32B-0414/summary.json,2026-04-20_16-25-30_zai-org_GLM-4-32B-0414/results.jsonl,1bfd1e4d01512bb60c7163364369581f67b15b0b2364b2f5f77e021b381a4a01,5931fdfcd862be3b1005d21eba6142545b53b5fa721dc10895c8cecc2cd952de,2400,2400,814,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
25,tiiuae/Falcon3-10B-Instruct,vllm,canonical,2026-04-19T06:40:02.149470,2400,723,0.3013,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_06-25-24_tiiuae_Falcon3-10B-Instruct/summary.json,2026-04-19_06-25-24_tiiuae_Falcon3-10B-Instruct/results.jsonl,c3457f7e6f5a3ab761e5f3c5360590bf12321bb0ce82421f0f47e3f9bef092fe,029b60ec5fff8696c99d4e9bd1de145c053fa4c6aa2faa3eea8412e13f25c96a,2400,2400,723,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
26,Qwen/Qwen3-1.7B,vllm,canonical,2026-04-18T23:26:25.615745,2400,704,0.2933,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-18_23-09-59_Qwen_Qwen3-1.7B/summary.json,2026-04-18_23-09-59_Qwen_Qwen3-1.7B/results.jsonl,e36706cbc7b8fbe68a164a48a33a22f15a48d73b31aff5f99f05eb057aa5c494,13b9dd5c5f1097de25084ace5ac7e988660e694f1284a897135c198dbabbb7bf,2400,2400,704,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
27,o4-mini,openai,canonical,2026-04-25T21:24:09.589086,800,220,0.275,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-25_21-07-17_o4-mini/summary.json,2026-04-25_21-07-17_o4-mini/results.jsonl,7e0e6473bd22972ed00e3c346b9d68501de10396e4ba086449e8c61896689f6a,ff474fe97561244b8ef32bfce708645b6cd5da74c72d4d3b604be19d59d5564d,800,800,220,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
28,allenai/Olmo-3-7B-Instruct,vllm,canonical,2026-04-19T02:57:32.298140,2400,640,0.2667,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_02-44-19_allenai_Olmo-3-7B-Instruct/summary.json,2026-04-19_02-44-19_allenai_Olmo-3-7B-Instruct/results.jsonl,ccb8cbfb3505be92f3d7d46df30917cf4834af6b0a6222b4d01018bf2a929c34,1cc74dde17cd8b483cc26ae224831ae9e0636ef5a6f9fc246694e68b8741710a,2400,2400,640,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
29,openai/gpt-oss-120b,vllm,canonical,2026-04-25T08:13:21.624034,2400,648,0.27,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-25_07-45-06_openai_gpt-oss-120b/summary.json,2026-04-25_07-45-06_openai_gpt-oss-120b/results.jsonl,b78608639c6d092a1c82c81c990bb17322093db8e0ff67dd581bd978c7b1bc24,2832b7d3118381fae0d766afb78e03b9d4b1560856f53809feb578a68727548b,2400,2400,648,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
30,tiiuae/Falcon3-7B-Instruct,vllm,canonical,2026-04-19T02:42:06.629422,2400,619,0.2579,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_02-29-57_tiiuae_Falcon3-7B-Instruct/summary.json,2026-04-19_02-29-57_tiiuae_Falcon3-7B-Instruct/results.jsonl,80b1ffdba639eac9102155f02c686d8088a9148fcccc4f10b24c5aee167bc5d2,b3254e6fdc0a47af3cafc67a3fbf19e9a7003583ed6e9636a48e80d2f2d05e39,2400,2400,619,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
31,google/gemma-4-E2B-it,vllm,canonical,2026-04-18T23:41:31.851167,2400,610,0.2542,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-18_23-39-33_google_gemma-4-E2B-it/summary.json,2026-04-18_23-39-33_google_gemma-4-E2B-it/results.jsonl,9137fbeb394d9fba17cbab9211064de3682e802211041892a21a1fbf45360272,921a63f65f795b883a1f139a48821cae5b461e6ff4a9c177b9ad5a73f4f846db,2400,2400,610,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
32,o3-mini,openai,canonical,2026-04-20T21:39:59.432399,800,207,0.2587,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-20_21-29-11_o3-mini/summary.json,2026-04-20_21-29-11_o3-mini/results.jsonl,265307e506a32171258e1c51033e411b3be78f546d2e95f2d6136177f1f3bc4d,de70d567bc1eb568097eee35c8599a4efc6c10959a553599018dbb86b5f35372,800,800,207,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
33,microsoft/Phi-4-mini-instruct,vllm,canonical,2026-04-19T01:37:48.544373,2400,617,0.2571,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_01-23-50_microsoft_Phi-4-mini-instruct/summary.json,2026-04-19_01-23-50_microsoft_Phi-4-mini-instruct/results.jsonl,a28711e7af532368f73e8a09b0bafe69f391ee5df374f28dbf3b5a5a02dda61d,de3c0ccbf695f9f00d578f90a81020d2f489659203b78229fd50d9d48066d658,2400,2400,617,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
34,openai/gpt-oss-20b,vllm,canonical,2026-04-24T11:26:45.297349,2400,607,0.2529,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-24_11-11-57_openai_gpt-oss-20b/summary.json,2026-04-24_11-11-57_openai_gpt-oss-20b/results.jsonl,a50f1e63f426964063e3912d3a6df7a7f7a41dd77c927eb035d1f7b35469d90a,09a699a34d7a46d15a7c1787dc77ed500f5f18231bf9fefd67ddc9b317626533,2400,2400,607,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
35,google/gemma-4-E4B-it,vllm,canonical,2026-04-19T01:45:57.147345,2400,602,0.2508,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_01-41-03_google_gemma-4-E4B-it/summary.json,2026-04-19_01-41-03_google_gemma-4-E4B-it/results.jsonl,dd79f9a1f9a088d172411a0c0d55a1f04d1c63a31483b9b8c8417cbe7c18fa05,150d4cf67dc8710241f2750fa99b1424b1d05b7353960dc728379205c352f317,2400,2400,602,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
36,internlm/internlm3-8b-instruct,vllm,canonical,2026-04-19T05:29:09.192061,2400,536,0.2233,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_05-04-29_internlm_internlm3-8b-instruct/summary.json,2026-04-19_05-04-29_internlm_internlm3-8b-instruct/results.jsonl,a5a3f19169456d30042b00e0aa6390b54969c31bc1b8ce740741361eda2bbc8b,8727f0b33681619d4af88b321901ce449fb00dca0bb4952bd180c93c19076ee7,2400,2400,536,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
37,openbmb/MiniCPM4-8B,vllm,canonical,2026-04-19T05:02:35.678679,2400,515,0.2146,results/main_results.csv,results/run_summaries_redacted.jsonl,results/per_scenario_results_redacted.csv,2026-04-19_04-56-15_openbmb_MiniCPM4-8B/summary.json,2026-04-19_04-56-15_openbmb_MiniCPM4-8B/results.jsonl,a81aa98bc19e1be53e5a7a69a7751f1956364da77b2cdf2c49fb8f19c21b6399,f01c0d532e6fdabbf51d4caa7d5651f3f38e781ad491cf310a2207541578963b,2400,2400,515,0,reconciled,no,,redacted_fields_only,no,no,no,"Rescored from raw results.jsonl under the patched attribute_changed.direction scorer. Source summary hashes point to the original pre-patch harness summaries; full prompts, assistant responses, tool arguments, and states remain omitted."
